País;Año;Miles de tns LCE;;;
China;1996;149.044;;;
China;1997;154.367;;;
China;1998;15.969;;;
China;1999;122.429;;;
China;2000;127.752;;;
China;2001;127.752;;;
China;2002;127.752;;;
China;2003;133.075;;;
China;2004;138.398;;;
China;2005;149.044;;;
China;2006;149.044;;;
China;2007;15.969;;;
China;2008;175.659;;;
China;2009;202.274;;;
China;2010;21.292;;;
China;2011;218.243;;;
China;2012;239.535;;;
China;2013;250.181;;;
China;2014;122.429;;;
China;2015;10.646;;;
China;2016;122.429;;;
China;2017;361.964;;;
China;2018;377.933;;;
China;2019;574.884;;;
China;2020;707.959;;;
China;2021;74.522;;;
China;2022;1.202.998;;;
China;2023;1.900.311;;;
China;2024;218.243;;;
Estados Unidos;1995;186.305;;;
Estados Unidos;1996;21.292;;;
Estados Unidos;1997;21.292;;;
Estados Unidos;1998;79.845;;;
Estados Unidos;1999;79.845;;;
Estados Unidos;2000;79.845;;;
Estados Unidos;2001;79.845;;;
Estados Unidos;2002;79.845;;;
Estados Unidos;2003;79.845;;;
Estados Unidos;2004;79.845;;;
Estados Unidos;2005;79.845;;;
Estados Unidos;2006;79.845;;;
Estados Unidos;2007;79.845;;;
Estados Unidos;2008;79.845;;;
Estados Unidos;2009;79.845;;;
Estados Unidos;2010;5.323;;;
Estados Unidos;2011;5.323;;;
Estados Unidos;2012;5.323;;;
Estados Unidos;2013;47.907;;;
Estados Unidos;2014;47.907;;;
Estados Unidos;2015;47.907;;;
Estados Unidos;2016;47.907;;;
Estados Unidos;2017;47.907;;;
Estados Unidos;2018;47.907;;;
Estados Unidos;2019;47.907;;;
Estados Unidos;2020;47.907;;;
Estados Unidos;2021;500.362;;;
Estados Unidos;2022;324.703;;;
Estados Unidos;2023;31.938;;;
Estados Unidos;2024;489.716;;;
Otros paises;1995;37.261;;;
Otros paises;1996;37.261;;;
Otros paises;1997;85.168;;;
Otros paises;1998;37.261;;;
Otros paises;1999;37.261;;;
Otros paises;2000;37.261;;;
Otros paises;2001;37.261;;;
Otros paises;2002;37.261;;;
Otros paises;2003;37.261;;;
Otros paises;2004;37.261;;;
Otros paises;2005;37.261;;;
Otros paises;2006;37.261;;;
Otros paises;2007;37.261;;;
Otros paises;2008;37.261;;;
Otros paises;2009;15.969;;;
Otros paises;2010;0;;;
Otros paises;2011;0;;;
Otros paises;2012;0;;;
Otros paises;2013;0;;;
Otros paises;2014;0.10646;;;
Otros paises;2015;0;;;
Otros paises;2016;0.05323;;;
Otros paises;2017;0.47907;;;
Otros paises;2018;1.575.608;;;
Otros paises;2019;196.951;;;
Otros paises;2020;0.42584;;;
Otros paises;2021;0.63876;;;
Otros paises;2022;351.318;;;
Otros paises;2023;324.703;;;
Otros paises;2024;3.944.343;;;
Portugal;1995;10.646;;;
Portugal;1996;10.646;;;
Portugal;1997;10.646;;;
Portugal;1998;10.646;;;
Portugal;1999;10.646;;;
Portugal;2000;0.5323;;;
Portugal;2001;10.646;;;
Portugal;2002;10.646;;;
Portugal;2003;21.292;;;
Portugal;2004;21.292;;;
Portugal;2005;21.292;;;
Portugal;2006;21.292;;;
Portugal;2007;26.615;;;
Portugal;2008;26.615;;;
Portugal;2009;31.938;;;
Portugal;2010;31.938;;;
Portugal;2011;31.938;;;
Portugal;2012;15.969;;;
Portugal;2013;15.969;;;
Portugal;2014;138.398;;;
Portugal;2015;138.398;;;
Portugal;2016;207.597;;;
Portugal;2017;404.548;;;
Portugal;2018;612.145;;;
Portugal;2019;47.907;;;
Portugal;2020;186.305;;;
Portugal;2021;47.907;;;
Portugal;2022;202.274;;;
Portugal;2023;21.292;;;
Portugal;2024;202.274;;;
Zimbabue;1995;26.615;;;
Zimbabue;1996;26.615;;;
Zimbabue;1997;37.261;;;
Zimbabue;1998;5.323;;;
Zimbabue;1999;37.261;;;
Zimbabue;2000;37.261;;;
Zimbabue;2001;37.261;;;
Zimbabue;2002;31.938;;;
Zimbabue;2003;26.615;;;
Zimbabue;2004;10.646;;;
Zimbabue;2005;15.969;;;
Zimbabue;2006;31.938;;;
Zimbabue;2007;15.969;;;
Zimbabue;2008;26.615;;;
Zimbabue;2009;21.292;;;
Zimbabue;2010;26.615;;;
Zimbabue;2011;26.615;;;
Zimbabue;2012;58.553;;;
Zimbabue;2013;5.323;;;
Zimbabue;2014;47.907;;;
Zimbabue;2015;47.907;;;
Zimbabue;2016;5.323;;;
Zimbabue;2017;42.584;;;
Zimbabue;2018;85.168;;;
Zimbabue;2019;63.876;;;
Zimbabue;2020;223.566;;;
Zimbabue;2021;377.933;;;
Zimbabue;2022;548.269;;;
Zimbabue;2023;793.127;;;
Zimbabue;2024;117.106;;;
